Month,Year,Average Temperature,Historical Average,Max Temperature,Min Temperature,Historical Max,Historical Min
October,2013,26.52,25.42,32.24,21.31,31.12,19.75
November,2013,25.76,24.98,31.24,20.81,30.63,19.29
December,2013,25.93,25.01,31.90,20.73,31.00,19.13
January,2014,26.93,25.74,32.48,21.22,31.68,19.90
February,2014,27.60,26.55,32.85,22.46,32.40,20.83
March,2014,27.61,26.82,33.31,22.18,32.89,20.93
April,2014,26.61,26.07,32.52,21.17,31.79,20.51
May,2014,26.51,25.36,31.95,20.63,31.07,19.80
June,2014,25.47,24.35,31.38,19.77,30.37,18.57
July,2014,24.72,23.57,31.01,19.24,29.32,17.88
August,2014,25.16,23.84,31.49,19.80,29.50,18.12
September,2014,25.48,24.82,31.23,20.14,30.77,18.93
October,2014,26.74,25.42,32.58,21.10,31.12,19.75
November,2014,25.93,24.98,31.76,20.83,30.63,19.29
December,2014,26.04,25.01,32.12,20.80,31.00,19.13
January,2015,27.11,25.74,33.11,21.33,31.68,19.90
February,2015,27.87,26.55,33.66,22.24,32.40,20.83
March,2015,27.73,26.82,34.02,21.71,32.89,20.93
April,2015,27.01,26.07,32.53,21.68,31.79,20.51
May,2015,26.82,25.36,32.28,21.45,31.07,19.80
June,2015,25.38,24.35,31.48,20.20,30.37,18.57
July,2015,24.79,23.57,31.02,19.43,29.32,17.88
August,2015,24.85,23.84,30.98,19.36,29.50,18.12
September,2015,26.04,24.82,32.36,20.28,30.77,18.93
October,2015,26.81,25.42,32.29,21.72,31.12,19.75
November,2015,26.21,24.98,31.50,21.67,30.63,19.29
December,2015,26.51,25.01,31.89,21.27,31.00,19.13
January,2016,27.42,25.74,32.21,23.14,31.68,19.90
February,2016,27.67,26.55,32.81,22.73,32.40,20.83
March,2016,29.07,26.82,35.31,23.23,32.89,20.93
April,2016,27.78,26.07,33.29,22.72,31.79,20.51
May,2016,25.74,25.36,30.88,20.84,31.07,19.80
June,2016,24.87,24.35,30.63,19.64,30.37,18.57
July,2016,24.17,23.57,29.80,18.92,29.32,17.88
August,2016,24.24,23.84,30.18,19.00,29.50,18.12
September,2016,24.84,24.82,30.64,19.63,30.77,18.93
October,2016,26.66,25.42,32.77,20.64,31.12,19.75
November,2016,26.26,24.98,31.82,20.85,30.63,19.29
December,2016,26.08,25.01,31.97,20.29,31.00,19.13
January,2017,26.69,25.74,32.96,20.22,31.68,19.90
February,2017,27.64,26.55,32.82,22.92,32.40,20.83
March,2017,28.63,26.82,35.08,22.52,32.89,20.93
April,2017,27.49,26.07,33.52,21.92,31.79,20.51
May,2017,26.40,25.36,32.05,21.33,31.07,19.80
June,2017,25.52,24.35,31.73,19.86,30.37,18.57
July,2017,24.71,23.57,30.34,19.48,29.32,17.88
August,2017,24.96,23.84,30.72,19.80,29.50,18.12
September,2017,25.89,24.82,31.08,20.48,30.77,18.93
October,2017,26.62,25.42,31.99,21.38,31.12,19.75
November,2017,25.48,24.98,30.92,20.36,30.63,19.29
